State,Year,Quarter,Transaction_Type,Transaction_Count,Transaction_Amount,YearQuarter
Andhra Pradesh,2020,1,Merchant payments,31408022,18603161784.49699,2020-Q1
Andhra Pradesh,2020,1,Recharge & bill payments,30449644,10813530777.97353,2020-Q1
Andhra Pradesh,2020,1,Financial Services,75238,43739133.169823855,2020-Q1
Andhra Pradesh,2020,1,Others,292310,188228538.3748976,2020-Q1
Andhra Pradesh,2020,2,Peer-to-peer payments,73609921,262731724130.7907,2020-Q2
Andhra Pradesh,2020,2,Recharge & bill payments,41013987,16991006436.573462,2020-Q2
Andhra Pradesh,2020,2,Merchant payments,29976765,22625596525.442688,2020-Q2
Andhra Pradesh,2020,2,Financial Services,140941,145274999.1567963,2020-Q2
Andhra Pradesh,2020,2,Others,176241,90087654.6000998,2020-Q2
Andhra Pradesh,2020,3,Peer-to-peer payments,106791894,406461788252.3205,2020-Q3
Andhra Pradesh,2020,3,Merchant payments,54055557,40739580213.86052,2020-Q3
Andhra Pradesh,2020,3,Recharge & bill payments,43500067,19475104674.82717,2020-Q3
Andhra Pradesh,2020,3,Financial Services,243088,256074924.7187529,2020-Q3
Andhra Pradesh,2020,3,Others,312329,151582519.1813668,2020-Q3
Andhra Pradesh,2020,4,Peer-to-peer payments,152003791,566639138543.7709,2020-Q4
Andhra Pradesh,2020,4,Merchant payments,86581460,66654048149.95168,2020-Q4
Andhra Pradesh,2020,4,Recharge & bill payments,46810304,20936337211.55774,2020-Q4
Andhra Pradesh,2020,4,Financial Services,265470,305168772.45601684,2020-Q4
Andhra Pradesh,2020,4,Others,457527,306853355.594738,2020-Q4
Andhra Pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0018,2021-Q1
Andhra Pradesh,2021,1,Merchant payments,97920281,70813192713.43477,2021-Q1
Andhra Pradesh,2021,1,Recharge & bill payments,41940689,20546424964.144817,2021-Q1
Andhra Pradesh,2021,1,Financial Services,225355,270313028.4845201,2021-Q1
Andhra Pradesh,2021,1,Others,347907,272546457.5502677,2021-Q1
Andhra Pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.439,2021-Q2
Andhra Pradesh,2021,2,Merchant payments,112875274,88512429436.91249,2021-Q2
Andhra Pradesh,2021,2,Recharge & bill payments,49626902,24646800345.106968,2021-Q2
Andhra Pradesh,2021,2,Financial Services,243237,265483044.4012466,2021-Q2
Andhra Pradesh,2021,2,Others,406842,308302224.3856007,2021-Q2
Andhra Pradesh,2021,3,Peer-to-peer payments,221280317,837841124664.307,2021-Q3
Andhra Pradesh,2021,3,Merchant payments,158290953,118164377968.1675,2021-Q3
Andhra Pradesh,2021,3,Recharge & bill payments,51702350,27511344958.24361,2021-Q3
Andhra Pradesh,2021,3,Financial Services,211171,297239697.8307386,2021-Q3
Andhra Pradesh,2021,3,Others,547759,403948275.5675607,2021-Q3
Andhra Pradesh,2021,4,Peer-to-peer payments,262006450,971269765249.1284,2021-Q4
Andhra Pradesh,2021,4,Merchant payments,207538904,152883933596.5386,2021-Q4
Andhra Pradesh,2021,4,Recharge & bill payments,51762842,31232784713.98579,2021-Q4
Andhra Pradesh,2021,4,Financial Services,243951,332740108.6635881,2021-Q4
Andhra Pradesh,2021,4,Others,701856,545223415.6638832,2021-Q4
Andhra Pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.478,2022-Q1
Andhra Pradesh,2022,1,Merchant payments,242031836,169419685917.19562,2022-Q1
Andhra Pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83001,2022-Q1
Andhra Pradesh,2022,1,Financial Services,231651,324358965.1185906,2022-Q1
Andhra Pradesh,2022,1,Others,627694,474382234.25397474,2022-Q1
Andhra Pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.711,2022-Q2
Andhra Pradesh,2022,2,Merchant payments,292530048,205433660654.2089,2022-Q2
Andhra Pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06145,2022-Q2
Andhra Pradesh,2022,2,Financial Services,192751,245783011.0445526,2022-Q2
Andhra Pradesh,2022,2,Others,441925,357036084.9071137,2022-Q2
Andhra Pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.739,2022-Q3
Andhra Pradesh,2022,3,Merchant payments,291033653,202910820650.0824,2022-Q3
Andhra Pradesh,2022,3,Recharge & bill payments,52467708,41438764826.20322,2022-Q3
Andhra Pradesh,2022,3,Financial Services,187190,239347241.5465504,2022-Q3
Andhra Pradesh,2022,3,Others,362484,323951101.5715289,2022-Q3
Andhra Pradesh,2022,4,Merchant payments,321632104,211898851397.0984,2022-Q4
Andhra Pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.011,2022-Q4
Andhra Pradesh,2022,4,Recharge & bill payments,52098850,41986837706.47902,2022-Q4
Andhra Pradesh,2022,4,Financial Services,206459,250596592.0646504,2022-Q4
Andhra Pradesh,2022,4,Others,345658,339211363.0027188,2022-Q4
Arunachal Pradesh,2018,1,Recharge & bill payments,28729,5184132.514934338,2018-Q1
Arunachal Pradesh,2018,1,Peer-to-peer payments,13320,82889682.72418305,2018-Q1
Arunachal Pradesh,2018,1,Merchant payments,1042,2420374.1905855755,2018-Q1
Arunachal Pradesh,2018,1,Financial Services,416,58893.76201533088,2018-Q1
Arunachal Pradesh,2018,1,Others,1990,1834252.817690888,2018-Q1
Arunachal Pradesh,2018,2,Recharge & bill payments,50700,10468878.53710718,2018-Q2
Arunachal Pradesh,2018,2,Peer-to-peer payments,26477,181576281.1946475,2018-Q2
Arunachal Pradesh,2018,2,Merchant payments,2378,4718953.439561011,2018-Q2
Arunachal Pradesh,2018,2,Financial Services,559,363761.801595492,2018-Q2
Arunachal Pradesh,2018,2,Others,2043,1842317.369135248,2018-Q2
Arunachal Pradesh,2018,3,Recharge & bill payments,74122,15997565.906016491,2018-Q3
Arunachal Pradesh,2018,3,Peer-to-peer payments,49740,308106303.4534257,2018-Q3
Arunachal Pradesh,2018,3,Merchant payments,4738,5505694.567913429,2018-Q3
Arunachal Pradesh,2018,3,Financial Services,507,72133.845254878,2018-Q3
Arunachal Pradesh,2018,3,Others,2039,2044708.9687807967,2018-Q3
Arunachal Pradesh,2018,4,Recharge & bill payments,97751,20662691.88231327,2018-Q4
Arunachal Pradesh,2018,4,Peer-to-peer payments,68169,468831493.2328037,2018-Q4
Arunachal Pradesh,2018,4,Merchant payments,7726,11998974.1040326,2018-Q4
Arunachal Pradesh,2018,4,Financial Services,561,100597.90379906222,2018-Q4
Arunachal Pradesh,2018,4,Others,2222,2446271.9688117937,2018-Q4
Arunachal Pradesh,2019,1,Recharge & bill payments,121303,26796894.99823331,2019-Q1
Arunachal Pradesh,2019,1,Peer-to-peer payments,93494,568554821.4456317,2019-Q1
Arunachal Pradesh,2019,1,Merchant payments,9214,11727218.40133424,2019-Q1
Arunachal Pradesh,2019,1,Financial Services,256,140622.87093631705,2019-Q1
Arunachal Pradesh,2019,1,Others,2239,2730548.597814082,2019-Q1
Arunachal Pradesh,2019,2,Recharge & bill payments,131988,30420803.41271234,2019-Q2
Arunachal Pradesh,2019,2,Peer-to-peer payments,106527,704237943.4054435,2019-Q2
Arunachal Pradesh,2019,2,Merchant payments,16828,13955724.13071291,2019-Q2
Arunachal Pradesh,2019,2,Financial Services,267,160660.8821362781,2019-Q2
Arunachal Pradesh,2019,2,Others,3046,3880742.524023137,2019-Q2
Arunachal Pradesh,2019,3,Recharge & bill payments,216228,50946104.94289842,2019-Q3
Arunachal Pradesh,2019,3,Peer-to-peer payments,133484,841037395.2474606,2019-Q3
Arunachal Pradesh,2019,3,Merchant payments,16900,17178248.07427002,2019-Q3
Arunachal Pradesh,2019,3,Financial Services,864,64089.11350267195,2019-Q3
Arunachal Pradesh,2019,3,Others,2758,3419197.4177385764,2019-Q3
Arunachal Pradesh,2019,4,Recharge & bill payments,259183,63516906.09060433,2019-Q4
Arunachal Pradesh,2019,4,Peer-to-peer payments,177833,1100137447.934045,2019-Q4
Arunachal Pradesh,2019,4,Merchant payments,19769,23192271.69157681,2019-Q4
Arunachal Pradesh,2019,4,Financial Services,314,305379.7987782319,2019-Q4
Arunachal Pradesh,2019,4,Others,2376,3421174.01227797,2019-Q4
Arunachal Pradesh,2020,1,Recharge & bill payments,329834,86011654.77474582,2020-Q1
Arunachal Pradesh,2020,1,Peer-to-peer payments,203429,1263912288.406636,2020-Q1
Arunachal Pradesh,2020,1,Merchant payments,31181,28553052.13391879,2020-Q1
Arunachal Pradesh,2020,1,Financial Services,470,337812.948161694,2020-Q1
Arunachal Pradesh,2020,1,Others,2261,2943873.066683824,2020-Q1
Arunachal Pradesh,2020,2,Recharge & bill payments,522495,145198528.2296113,2020-Q2
Arunachal Pradesh,2020,2,Peer-to-peer payments,247861,1630654426.044183,2020-Q2
Arunachal Pradesh,2020,2,Merchant payments,35169,46446966.61244751,2020-Q2
Arunachal Pradesh,2020,2,Financial Services,1310,2655507.6964110374,2020-Q2
Arunachal Pradesh,2020,2,Others,1939,1761404.4023099935,2020-Q2
Arunachal Pradesh,2020,3,Recharge & bill payments,514907,153463816.2118439,2020-Q3
Arunachal Pradesh,2020,3,Peer-to-peer payments,370418,2361603431.37578,2020-Q3
Arunachal Pradesh,2020,3,Merchant payments,72736,88145178.69272713,2020-Q3
Arunachal Pradesh,2020,3,Financial Services,1761,4030599.9171272414,2020-Q3
Arunachal Pradesh,2020,3,Others,3005,2695539.3607389224,2020-Q3
Arunachal Pradesh,2020,4,Peer-to-peer payments,522019,3254744938.410562,2020-Q4
Arunachal Pradesh,2020,4,Recharge & bill payments,513895,152389181.2174306,2020-Q4
Arunachal Pradesh,2020,4,Merchant payments,167387,156682926.023846,2020-Q4
Arunachal Pradesh,2020,4,Financial Services,1749,2391651.8783250954,2020-Q4
Arunachal Pradesh,2020,4,Others,4079,4055324.315454754,2020-Q4
Arunachal Pradesh,2021,1,Peer-to-peer payments,566209,3460488558.9436502,2021-Q1
Arunachal Pradesh,2021,1,Recharge & bill payments,450649,142358376.9003836,2021-Q1
Arunachal Pradesh,2021,1,Merchant payments,155966,204958020.08914977,2021-Q1
Arunachal Pradesh,2021,1,Financial Services,1558,2672460.4740365944,2021-Q1
Arunachal Pradesh,2021,1,Others,3074,3301662.609423133,2021-Q1
Arunachal Pradesh,2021,2,Peer-to-peer payments,762946,4000960152.0755486,2021-Q2
Arunachal Pradesh,2021,2,Recharge & bill payments,556680,165579844.2510589,2021-Q2
Arunachal Pradesh,2021,2,Merchant payments,243375,283709438.5363142,2021-Q2
Arunachal Pradesh,2021,2,Financial Services,1582,2761076.7934988844,2021-Q2
Arunachal Pradesh,2021,2,Others,3755,3415105.337960117,2021-Q2
Arunachal Pradesh,2021,3,Peer-to-peer payments,986088,5033603845.032885,2021-Q3
Arunachal Pradesh,2021,3,Recharge & bill payments,600102,187390578.3040377,2021-Q3
Arunachal Pradesh,2021,3,Merchant payments,314658,449869060.7842621,2021-Q3
Arunachal Pradesh,2021,3,Financial Services,1934,3348547.8272713376,2021-Q3
Arunachal Pradesh,2021,3,Others,4185,3912143.3503634185,2021-Q3
Arunachal Pradesh,2021,4,Peer-to-peer payments,1227616,6022733378.120082,2021-Q4
Arunachal Pradesh,2021,4,Recharge & bill payments,633248,207784816.33218512,2021-Q4
Arunachal Pradesh,2021,4,Merchant payments,521447,704195694.9939187,2021-Q4
Arunachal Pradesh,2021,4,Financial Services,2386,3933557.2795471298,2021-Q4
Arunachal Pradesh,2021,4,Others,5901,4862905.885615055,2021-Q4
Arunachal Pradesh,2022,1,Peer-to-peer payments,1403584,6670641250.459451,2022-Q1
Arunachal Pradesh,2022,1,Merchant payments,720803,917155358.717718,2022-Q1
Arunachal Pradesh,2022,1,Recharge & bill payments,670576,231933129.00412327,2022-Q1
Arunachal Pradesh,2022,1,Financial Services,3053,3359625.792926075,2022-Q1
Arunachal Pradesh,2022,1,Others,6052,5002264.113148138,2022-Q1
Arunachal Pradesh,2022,2,Peer-to-peer payments,1751568,7627061474.687716,2022-Q2
Arunachal Pradesh,2022,2,Merchant payments,1108353,1255513517.363942,2022-Q2
Arunachal Pradesh,2022,2,Recharge & bill payments,688770,241162643.1948015,2022-Q2
Arunachal Pradesh,2022,2,Financial Services,2466,4063469.0998270046,2022-Q2
Arunachal Pradesh,2022,2,Others,5768,3864269.879579009,2022-Q2
Arunachal Pradesh,2022,3,Peer-to-peer payments,1967086,7365427284.274203,2022-Q3
Arunachal Pradesh,2022,3,Merchant payments,1316326,1413247143.488991,2022-Q3
Arunachal Pradesh,2022,3,Recharge & bill payments,649322,238448083.8077975,2022-Q3
Arunachal Pradesh,2022,3,Financial Services,1997,4763324.776043448,2022-Q3
Arunachal Pradesh,2022,3,Others,4687,3224948.7015704075,2022-Q3
Arunachal Pradesh,2022,4,Peer-to-peer payments,2251135,7768088687.67791,2022-Q4
Arunachal Pradesh,2022,4,Merchant payments,1704968,1669602212.917463,2022-Q4
Arunachal Pradesh,2022,4,Recharge & bill payments,669151,239412553.6121468,2022-Q4
Arunachal Pradesh,2022,4,Financial Services,2617,3785469.399336656,2022-Q4
Arunachal Pradesh,2022,4,Others,4838,4020773.895396032,2022-Q4
Assam,2018,1,Recharge & bill payments,632092,93491181.1405638,2018-Q1
Assam,2018,1,Peer-to-peer payments,318025,993525195.9818656,2018-Q1
Assam,2018,1,Merchant payments,40482,34501622.892667554,2018-Q1
Assam,2018,1,Financial Services,18172,4936862.200688562,2018-Q1
Assam,2018,1,Others,48110,31349593.99668264,2018-Q1
Assam,2018,2,Recharge & bill payments,984160,174427478.213408,2018-Q2
Assam,2018,2,Peer-to-peer payments,530781,2064314053.1339967,2018-Q2
Assam,2018,2,Merchant payments,79307,73366344.80739225,2018-Q2
Assam,2018,2,Financial Services,22773,7051504.657611102,2018-Q2
Assam,2018,2,Others,46852,31425754.72538605,2018-Q2
Assam,2018,3,Recharge & bill payments,1275136,254569069.32411745,2018-Q3
Assam,2018,3,Peer-to-peer payments,843571,3424136709.50882,2018-Q3
Assam,2018,3,Merchant payments,159532,96783839.37466942,2018-Q3
Assam,2018,3,Financial Services,22677,4741123.821880115,2018-Q3
Assam,2018,3,Others,50935,30904247.88478589,2018-Q3
Assam,2018,4,Recharge & bill payments,1703488,317661277.3470997,2018-Q4
Assam,2018,4,Peer-to-peer payments,1279089,5284776455.070784,2018-Q4
Assam,2018,4,Merchant payments,667293,240563395.2777939,2018-Q4
Assam,2018,4,Financial Services,28035,6331912.52655252,2018-Q4
Assam,2018,4,Others,56267,38689818.79087821,2018-Q4
Assam,2019,1,Recharge & bill payments,1993220,400281677.9438284,2019-Q1
Assam,2019,1,Peer-to-peer payments,1976310,7291433300.700248,2019-Q1
Assam,2019,1,Merchant payments,494871,266644645.7492942,2019-Q1
Assam,2019,1,Financial Services,20162,4612454.1127945455,2019-Q1
Assam,2019,1,Others,48442,39127457.94468763,2019-Q1
Assam,2019,2,Recharge & bill payments,2512932,539315772.8606573,2019-Q2
Assam,2019,2,Peer-to-peer payments,2293770,10035232820.85296,2019-Q2
Assam,2019,2,Merchant payments,573646,326844709.5879724,2019-Q2
Assam,2019,2,Financial Services,13654,4037222.414240564,2019-Q2
Assam,2019,2,Others,60927,49538663.41037582,2019-Q2
Assam,2019,3,Peer-to-peer payments,2713539,11835800855.17655,2019-Q3
Assam,2019,3,Recharge & bill payments,2645302,639885372.7480905,2019-Q3
Assam,2019,3,Merchant payments,513728,421380275.4207429,2019-Q3
Assam,2019,3,Financial Services,8606,6403456.344768786,2019-Q3
Assam,2019,3,Others,61396,46973660.73634353,2019-Q3
